Logo,Role,Company,Location,Source,Posted,Full / Part Time,Salary,Description,Link
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRuyf4eLjHWCm2uOgDFpXp_5zb1LwSuhxXwiOGt&s=0,AI Engineer,FPT Smart Cloud (FCI),Hà Nội,qua TopCV,10 ngày trước,Toàn thời gian,*missing data*,"Mô tả công việc
• Collaborate with cross-functional teams including AI Builder, CX Designer, and domain experts to understand user requirements and business goals.
• Design chat flows, conversations, and user journeys to deliver seamless and personalized communication with AI-powered chat interfaces.
• Conduct user research and usability testing to gather information and feedback, and improve design to enhance user satisfaction and engagement.
• Stay up to date with the latest trends and advancements in conversational AI technology, and explore opportunities to integrate new features and capabilities into existing systems.
• Partner with AI Developer to integrate conversational AI solutions into various platforms, including web, mobile, and voice-enabled devices.
• Ensure compliance with privacy and security regulations when handling user data and deploying conversational AI systems.

Yêu cầu ứng viên
• Bachelor's or Master's degree in Information Technology, Human-Computer...",https://www.topcv.vn/viec-lam/ai-engineer/1273663.html?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTP1Z5TmI3wV6BdgRWTApWxGVz9XlgvEIqWJDAU&s=0,Leader AI Engineer,CÔNG TY TNHH THỊ GIÁC META,Hà Nội,qua TopCV,7 ngày trước,Toàn thời gian,"1,5 N US$–2,5 N US$ một tháng","Mô tả công việc

Responsibility: Xây dựng / đề xuất giải pháp

Tham gia nghiên cứu, phát triển

Tối ưu các giải pháp sử dụng Deep Learning trong các bài toán thị giác máy tính, xử lý ảnh.

Yêu cầu ứng viên

Kinh nghiệm 4 năm hoặc tương đương làm việc trong lĩnh vực Deep Learning mảng Computer Vision.

Khả năng lập trình và thiết kế phần mềm tốt.

Đã từng làm vai trò trưởng nhóm, trưởng dự án.

Có đam mê với lập trình, AI, Computer Vision.

Tư duy logic tốt, tinh thần trách nhiệm cao.

Ưu tiên ứng viên có kinh nghiệm làm việc, kiến thức về các dây chuyền tự động hóa.

Ưu tiên ứng viên sử dụng tốt tiếng Nhật (N3 trở lên).

Quyền lợi được hưởng

Thời gian làm việc linh động (core time: 9:00 AM - 16:00 PM)

Môi trường làm việc trẻ trung, năng động, thoải mái, thân thiện

Đóng bảo hiểm đầy đủ theo quy định

Khám sức khỏe định kỳ hàng năm cho nhân viên

Ký hợp đồng lao động, hưởng 12 ngày phép năm và các ngày nghỉ lễ, tết theo quy định của Nhà nước, bonus ngày nghỉ theo phúc lợi của công ty

Lương tháng 13 + Bonus dự án

Thưởng các ngày Lễ + Tết

Checkpoint 2 lần/năm (đối với nhân viên đã làm được 06 tháng trở lên), tăng lương theo hiệu quả công việc

Cung cấp Máy tính và các thiết bị hỗ trợ công việc

Phát triển sản phẩm ứng dụng các công nghệ mới

Cơ hội tiếp xúc và học hỏi những công nghệ tiên tiến nhất trong lĩnh vực CNTT

Tổ chức và hỗ trợ chi phí các hoạt động Team building hàng quý

Tổ chức tham quan, nghỉ mát 1 đến 2 lần 1 năm

Cung cấp đồ ăn nhẹ, trà và cà phê miễn phí",https://www.topcv.vn/viec-lam/leader-ai-engineer/1225002.html?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
*missing data*,AI Engineer,Sun* Inc. (Sun Asterisk Inc.),Hà Nội,qua TopCV,6 ngày trước,Toàn thời gian,*missing data*,"Mô tả công việc
• Tiến hành nghiên cứu và phát triển các thuật toán và kỹ thuật AI
• Áp dụng các thuật toán AI vào các dự án của công ty
• Phối hợp cùng R&D lab team và các bộ phận khác để tích hợp các giải pháp AI vào các dự án
• Triển khai áp dụng machine learning, deep learning tối ưu workflow
• Cập nhật những phát triển mới nhất về AI
• Tạo tài liệu kỹ thuật và trình bày kết quả nghiên cứu cho các nhóm nội bộ tại các event liên quan

Yêu cầu ứng viên
• Có từ 1 năm kinh nghiệm lập trình với Python
• Nắm vững các khái niệm về OOP, các tiêu chuẩn coding cho Python (PEP8, Google Style...)
• Nắm vững các kiến thức về toán cao cấp (đạo hàm, tích phân, xử lý dữ liệu nhiều chiều...)
• Có kinh nghiệm làm việc với các thư viện xử lý ảnh, xử lý ma trận trên Python: OpenCV, NumPY, SciPy ...
• Có kinh nghiệm làm việc với các bài toán NLP, Chatbot, Language model, RAG,... là một lợi thế
• Có kiến thức cơ bản hoặc có kinh nghiệm thực tế với Git, REST API, Docker là một lợi thế
• Có kinh nghiệm làm việc với các Machine Leaning framework như pytorch, tensorflow, huggingface... là một lợi thế
• Có kinh nghiệm làm việc với AI Cloud Services như Azure, AWS là một lợi thế
• Có kinh nghiệm làm việc trong các quy trình phát triển phần mềm Agile, Scrum là một lợi thế
• Sử dụng tiếng anh giao tiếp thành thạo trong công việc là lợi thế

Quyền lợi được hưởng

Môi trường chuyên nghiệp, cởi mở, đề cao sự sáng tạo:
• Làm việc cùng những đồng nghiệp có lý tưởng thay đổi xã hội
• Coi trọng những góc nhìn khác biệt trong tập thể
• Văn hóa học tập mạnh mẽ và thúc đẩy phát triển
• Văn hoá chấp nhận rủi ro để trải nghiệm và phát triển

Tập trung hỗ trợ sự phát triển cá nhân:
• Được tư vấn, đồng hành và hỗ trợ phát triển sự nghiệp cùng với hệ thống career path (phát triển theo hướng chuyên gia hoặc hướng quản lý) đã được nghiên cứu, thử nghiệm trong nhiều năm
• Được định hướng mục tiêu cá nhân, nhóm và tổ chức
• Trao quyền làm chủ
• Hỗ trợ xác định mục tiêu 3 tháng-6 tháng (Goal Define Support)
• Được truy cập thư viện tài liệu online Learning Hub với nhiều khóa học đa dạng được cung cấp bởi Udemy, Linkedln,...

Quan tâm đặc biệt tới nhân viên:
• Lương 700-1500$ (Gross) cùng các khoản trợ cấp, phụ cấp khác (ăn trưa, sinh hoạt, phái đẹp, tiếng Nhật, chứng chỉ IT,..v.v...)
• Lương tháng 13 & thưởng performance
• Performance review: 2 lần/năm
• Chế độ làm việc Hybrid working, checkin/ checkout linh hoạt
• Bảo hiểm sức khoẻ toàn diện Sun Care
• Chế độ thâm niên
• Chế độ chăm sóc phụ nữ: Nghỉ sinh lý phụ nữ: 2,5h/ tháng; nghỉ sau sinh cho nhân viên nữ có con dưới 1 tuổi: 1h/ngày
• Chính sách hỗ trợ các hoạt động học tập, trao đổi, chia sẻ kiến thức, giao lưu văn hoá (Seminar công nghệ – Tech Expert, CLB: đọc sách, tiếng Nhật, CLB âm nhạc,...)
• Du lịch thường niên, hoạt động team building hàng quý",https://www.topcv.vn/viec-lam/ai-engineer/679479.html?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQcOvs4GjI_2xyFDMh8oPPsYqCFA7oUXHFo8Yur&s=0,AI Engineer,Viettel Digital,Hà Nội,qua TopCV,19 ngày trước,Toàn thời gian,*missing data*,"Mô tả công việc
• Phối hợp với các đơn vị trong Tổng công ty để làm rõ nhu cầu ứng dụng AI vào hoạt động sản xuất kinh doanh với các đơn vị.
• Nghiên cứu các mô hình ứng dụng AI vào hoạt động sản xuất kinh doanh nhằm tối ưu, tang năng suất, giảm chi phí và tăng trải nghiệm trong các hoạt động.
• Nghiên cứu tìm hiểu các công nghệ AI đáp ứng các bài toán kinh doanh, triển khai được các bài toán AI vào hoạt động sản xuất kinh doanh
• Nghiên cứu các đối tác cung cấp giải pháp AI, phối hợp với đối tác triển khai giải pháp AI vào hoạt động sản xuất kinh doanh tại tổng công ty
• Triển khai hạ tầng, cài đặt các platform, frameworks open source cho các ứng dụng AI trên nền tảng on-premise.
• Thu thập dữ liệu, xử lý dữ liệu, làm sạch dữ liệu, đánh nhãn dữ liệu
• Đánh giá và tối ưu các mô hình opensource.
• Xây dựng bộ KPI, cách đo để xác định mức độ thành công của chương trình, dịch vụ hay sản phẩm từ hành vi của khách hàng trên Web/App và các kênh khác (Google Analysis, App Store, Hệ thống quản trị nội bộ, survey người dùng, tương tác mạng xã hội...)
• Các bài toán cần triển khai: eKYC, Robo Advisor, Chatbot CSKH, Chatbot hỗ trợ nghiệp vụ, Chatbot quy trình, ...

Yêu cầu ứng viên
• Tốt nghiệp đại học loại Khá trở lên. Ưu tiên học vị tiến sĩ, thạc sĩ các ngành khoa học dữ liệu, thống kê, toán kinh tế, toán tài chính, khoa học máy tính
• Tiếng Anh tương đương 650+ Toeic
• Hiểu biết sâu về xác suất thống kê, hiểu sâu về toán là lợi thế
• Hiểu biết về các mô hình học máy
• Có khả năng quản lý nhóm thực hiện các yêu cầu phân tích chuyên sâu và phân tích dự đoán
• Có kinh nghiệm build các mô hình học máy
• Có kinh nghiệm sử dụng ít nhất một trong các công cụ Tableau, Qlik, PowerBI, Google Data Studio
• Có kinh nghiệm sử dụng ít nhất một trong các ngôn ngữ Python, R
• Tinh thần làm việc tự giác, chủ động, nhiệt tình và có kỷ luật

Quyền lợi được hưởng
• Thời gian làm việc: 8h00 - 17h30 từ thứ 2 tới thứ 6
• Địa điểm làm việc: Làm việc tại tòa nhà văn phòng hạng A cao nhất Thủ đô – Keangnam Landmark 72, Phạm Hùng, Nam Từ Liêm, Hà Nội
• Mức lương thu hút và cạnh tranh, ứng viên thỏa thuận khi tham gia phỏng vấn
• Chính sách thưởng hấp dẫn: thưởng theo tháng, thưởng quý, thưởng năm, ngày lễ Tết, ... theo quy định chung của Tập đoàn Viettel
• Đóng BHXH, BHYT, BHTN theo quy định Nhà nước; khám sức khỏe định kỳ hàng năm
• Cơ hội tiếp xúc với các dự án lớn, mới mẻ & tham gia xây dựng những sản phẩm lớn và có chỗ đứng trên thị trường Fintech Việt Nam
• Cơ hội thăng tiến rõ ràng với nhiều cấp bậc
• Cơ hội ứng tuyển thử sức đi học tập và làm việc tại nước ngoài theo các khóa ngắn hạn, dài hạn
• Công việc luôn thay đổi, thách thức, không thỏa hiệp với sự lỗi thời.
• Lãnh đạo trẻ trung, biết lắng nghe và sẵn sàng tạo cơ hội để cá nhân phát triển bản thân. Đồng nghiệp thân thiện và nhiệt tình.
• Nghỉ dưỡng 3 ngày nguyên lương trong năm, hỗ trợ nghỉ dưỡng lên đến 9 triệu/ người
• Tham gia các hoạt động thể thao văn hóa, team building, Ngày hội Sáng tạo, giải bóng đá, Viettel’s Got Talent, event quý, event năm, event ngày nghỉ lễ tết,...
• Được thư giãn, khơi nguồn sáng tạo với Happy Time mỗi ngày
• Thưởng thức bữa trưa được phục vụ ngay tại VDS, được chọn lọc bởi các chuyên gia dinh dưỡng",https://www.topcv.vn/viec-lam/ai-engineer/1313080.html?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2xc0u6Jar81ewLQ8zMCr5xqKFJY_-mC42VkVn&s=0,[Hà Nội] AI Engineer,Trung Tâm Công nghệ thông tin Mobifone,Hà Nội,qua TopDev,3 ngày trước,Toàn thời gian,*missing data*,"Your role & responsibilities
• Phân tích vấn đề kinh doanh, phân tích khám phá (EDA), mô hình hóa dữ liệu để tìm ra xu hướng vận động, hình mẫu, bản chất của hiện tượng, hành vi người dùng,…và đưa ra các nhận định trong việc ứng dụng khai thác dữ liệu vào hoạt động kinh doanh tạo ra giá trị. Tư vấn cho đơn vị kinh doanh, đội ngũ BA/DA về hướng triển khai ứng dụng học máy, học sâu vào hoạt động kinh doanh
• Xây dựng luồng ETL tổng hợp dữ liệu, tiền xử lý, trích xuất đặc trưng với định dạng phù hợp với mục đích xây dựng từng loại mô hình
• Nghiên cứu thiết kế, cài đặt, tối ưu các thuật toán, công nghệ học máy, học sâu triển khai hiệu quả các bài toán
• Phối hợp thiết kế, triển khai các mô hình NLP tự động và có khả năng mở rộng
• Nghiên cứu, phát triển mô hình NLP tiên tiến

Your skills & qualifications
• Tốt nghiệp đại học chuyên ngành Công nghệ Thông tin, Toán Tin hoặc tương đương.
• Dưới 35 tuổi
• Kiến thức về mô hình học máy decision trees, linear regression, ensemble (random forest, boosting tree), k-means, SVM, PCA…
• Kiến thức về học sâu, mạng neural nhân tạo, các kiểu mạng MLP, CNN, LSTM, RNN…
• Kiến thức về xác suất thống kê, đại số tuyến tính, giải tích, lập trình, cấu trúc dữ liệu & giải thuật, lý thuyết đồ thị, cơ sở dữ liệu
• Kiến thức về phân tích khám phá dữ liệu (Exploratory Data Analysis – EDA)
• Sử dụng thành thạo Pytorch/Tensorflow
• Thành thạo ngôn ngữ lập trình Python/R
• Kỹ năng sử dụng các công cụ trực quan hóa dữ liệu, đánh giá mô hình
• Có kiến thức về xử lý dữ liệu phân tán, xử lý dữ liệu lớn (Hadoop, Spark, …) là một lợi thế
• Tư duy tốt, có khả năng nghiên cứu, đánh giá và cập nhật công nghệ mới

Benefits for you
• Thu nhập lên đến 480 triệu/năm
• Quyền lợi về Bảo hiểm xã hội/thất nghiệp và các phúc lợi hấp dẫn khác, gói bảo hiểm y tế quyền lợi đến $8000
• Các chế độ bồi dưỡng, ăn trưa 1.000.000đ/tháng, thuê bao nội bộ 320.000đ/tháng
• Được đào tạo phát triển bản thân, nâng cao các kỹ năng và chuyên môn nghề nghiệp
• Làm việc tại môi trường chuyên nghiệp, năng động, trẻ trung và trải nghiệm các hoạt động văn hóa doanh nghiệp đặc sắc
• Cơ hội tiếp cận với những doanh nghiệp, dự án lớn, những xu hướng công nghệ/nền tảng mới nhất, thỏa sức sáng tạo phát triển bản thân
• Thời gian làm việc: 08h - 17h từ Thứ 2 đến Thứ 6 hàng tuần (Nghỉ Thứ 7, CN",https://topdev.vn/viec-lam/ha-noi-ai-engineer-trung-tam-cong-nghe-thong-tin-mobifone-2033244?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTlq8ZuYoHAWIcudKQI4_Ll02kCp7bO0qQDGHli&s=0,AI Engineer (NLP),Công ty TNHH SETA international Việt Nam,Hà Nội,qua TopCV,19 ngày trước,Toàn thời gian,*missing data*,"Mô tả công việc
• Build, deploy and maintain text processing systems that interact with LLM.
• Creatively research to find optimal solutions in new projects. Freedom to explore and use the latest algorithms and technologies.
• Deploy the Deep Learning system to different production environments (Google Cloud Platform)
• Strict adherence to data privacy rules

Yêu cầu ứng viên
• At least 2.5 experience in NLP
• Experience in working with LLM and chatbot frameworks (Langchain, Llamaindex, etc.)
• Experience with RAG (Retrieval-Augmented Generation) framework
• Experience with bash scripting, SQL
• Experience with Cloud Platforms, Google Cloud Platform is preferred
• Experience working with distributed, microservice systems (Docker, Google Cloud Run, Google Cloud Function, k8s, etc.)
• Excellent in Python programming language
• Understanding in data privacy and protection
• Understanding in best practices for production deployment
• Familiar with at least one Python RESTful framework e.g. FastAPI, Flask
• Experience in projects related to Natural Language Processing
• Familiar with Databases, experience with Google BigQuery is preferred
• Familiar with networking concepts: VPC, Subnets, Security Groups, etc.
• Experience in complete model-building process: from data to training to inference
• Good at speaking English

Quyền lợi được hưởng
• Salary: Upto 45M
• An international, professional, young but innovative and dynamic environment working closely with international experts and joining conferences and workshops on exciting new technologies.
• Full benefits for employees according to the Vietnam Labor Laws: social and health insurance
• Holidays based on Vietnamese labor law + paid vacations
• Opportunity to onsite in the US",https://www.topcv.vn/viec-lam/ai-engineer-nlp/1312927.html?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRfdmux4vWnVZOfuE6D5Xt6TRzWVrUE1nX-DMAJ&s=0,Senior AI Engineer,Công ty Cổ phần Thời Trang YODY,Hà Nội,qua CareerViet,16 ngày trước,Toàn thời gian,*missing data*,"Overview: AI Engineer có vai trò phát triển và quản lý các hệ thống ứng dụng Trí tuệ nhân tạo, giúp tối ưu vận hành và tăng hiệu suất hoạt động của các bộ phận trong công ty

Responsibilities:

1. Phát triển hệ thống AI:
• Phân tích nhu cầu, phát hiện những vấn đề cần và có thể giải quyết được bằng AI
• Thiết kế và triển khai các hệ thống phù hợp
• Quản lý và duy trì hệ thống AI, bao gồm cập nhật và nâng cấp dựa vào nhu cầu của người dùng

2. Nghiên cứu công nghệ mới:
• Tìm hiểu các topic liên quan tới công nghệ AI.
• Viết báo cáo, mô tả chi tiết kỹ thuật và trình bày với HoAI.

3. Hỗ trợ và đào tạo người dùng
• Hỗ trợ người dùng trong việc sử dụng và hiểu dữ liệu từ hệ thống AI
• Tổ chức các buổi đào tạo và hội thảo để nâng cao năng lực sử dụng AI của nhân viên

4. Tư vấn, đề xuất hướng phát triển sản phẩm mới
• Theo dõi xu hướng và phát triển mới trong lĩnh vực AI
• Đề xuất các ý tưởng kỹ thuật mới trong quá trình phát triển hệ thống",https://careerviet.vn/vi/tim-viec-lam/senior-ai-engineer.35BFFC26.html?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTgeNDOUlrgD-ua5FgQJztFgx3vSbg4Ch4YnnXL&s=0,AI Engineer (Computer Vision),Horus Productions,Hà Nội,qua TopCV,9 ngày trước,Toàn thời gian,*missing data*,"Mô tả công việc
• Phát triển và ứng dụng công nghệ Vision 3D trong các dự án và sản phẩm Robotics bao gồm: làm việc với Camera 3D, LiDAR, ...
• Xử lý các bài toán: 3D Image Segmentation, 3D reconstruction, Visual Localization, Multi-view geometry, Sensor Fusion, Visual-Inertial Odometry, ...
• Phát triển và tối ưu hóa hệ thống Vision 3D trong điều khiển Robot, xe tự hành, ...
• Cộng tác chặt chẽ với các thành viên trong nhóm để đảm bảo chất lượng và tiến độ công việc.
• Thực hiện báo cáo kết quả công việc và đề xuất cải tiến.

Yêu cầu ứng viên

Đối với ứng viên Junior:
• Tốt nghiệp Đại học chuyên ngành Khoa học máy tính, Công nghệ thông tin hoặc các ngành liên quan
• Có kiến thức nền tảng về AI, Machine Learning, Computer Vision, Graphics 3D
• Từ 1,5 năm kinh nghiệm làm việc trong lĩnh vực AI - Computer Vision 3D
• Có kinh nghiệm sử dụng ít nhất một ngôn ngữ lập trình phổ biến (Python, Java, C++, ...)
• Đã từng làm việc với Camera 3D, LIDAR, ...
• Có khả năng đọc hiểu tiếng Anh tốt khả năng nghiên cứu và giải quyết vấn đề
• Có tinh thần trách nhiệm, chủ động trong công việc và khả năng làm việc nhóm tốt

Đối với ứng viên Senior:
• Từ 3 năm kinh nghiệm làm việc trong lĩnh vực AI - Computer Vision 3D.
• Có kinh nghiệm làm việc với các mô hình Vision 3D trên Robot/ Xe tự lái, giải quyết các bài toán 3D Segmentation-Reconstruction, ...
• Có kiến thức chắc về OpenCV, Tensorflow/Pytorch, kiến trúc GPU, ...
• Có hiểu biết sâu về các mô hình, thuật toán trong Computer Vision, Vision 3D.
• Có kỹ năng lập trình tốt, kinh nghiệm sử dụng các công cụ phát triển phần mềm (Git, JIRA, ...), kinh nghiệm triển khai mô hình AI.
• Có khả năng đọc hiểu tiếng Anh tốt, khả năng nghiên cứu và giải quyết vấn đề.
• Có kỹ năng giao tiếp tốt, khả năng làm việc nhóm và lãnh đạo.

Quyền lợi được hưởng
• Mức lương từ 1000$ đến 2000$, tùy thuộc vào kinh nghiệm và năng lực của ứng viên.
• Môi trường làm việc chuyên nghiệp, năng động và thân thiện.
• Cơ hội tham gia các dự án quốc tế và học hỏi kỹ năng mới.
• Được đào tạo và nâng cao kiến thức chuyên môn liên tục.
• Chế độ phúc lợi đầy đủ theo quy định của công ty và nhà nước.
• Cơ hội thăng tiến và phát triển sự nghiệp trong công ty",https://www.topcv.vn/viec-lam/ai-engineer-computer-vision/1287809.html?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRt7M3_mz_h68NIyYo3DV5006yt44_xSBjE4_eR&s=0,[Hà Nội] AI Engineer,trung tâm công nghệ thông tin mobifone,Hà Nội,qua 123job,2 ngày trước,Toàn thời gian,*missing data*,"Your role & responsibilities
• Phân tích vấn đề kinh doanh, phân tích khám phá (EDA), mô hình hóa dữ liệu để tìm ra xu hướng vận động, hình mẫu, bản chất của hiện tượng, hành vi người dùng,…và đưa ra các nhận định trong việc ứng dụng khai thác dữ liệu vào hoạt động kinh doanh tạo ra giá trị. Tư vấn cho đơn vị kinh doanh, đội ngũ BA/DA về hướng triển khai ứng dụng học máy, học sâu vào hoạt động kinh doanh
• Xây dựng luồng ETL tổng hợp dữ liệu, tiền xử lý, trích xuất đặc trưng với định dạng phù hợp với mục đích xây dựng từng loại mô hình
• Nghiên cứu thiết kế, cài đặt, tối ưu các thuật toán, công nghệ học máy, học sâu triển khai hiệu quả các bài toán
• Phối hợp thiết kế, triển khai các mô hình NLP tự động và có khả năng mở rộng
• Nghiên cứu, phát triển mô hình NLP tiên tiến

Your skills & qualifications
• Tốt nghiệp đại học chuyên ngành Công nghệ Thông tin, Toán Tin hoặc tương đương.
• Dưới 35 tuổi
• Kiến thức về mô hình học máy decision trees, linear regression, ensemble (random forest, boosting tree), k-means, SVM, PCA…
• Kiến thức về học sâu, mạng neural nhân tạo, các kiểu mạng MLP, CNN, LSTM, RNN…
• Kiến thức về xác suất thống kê, đại số tuyến tính, giải tích, lập trình, cấu trúc dữ liệu & giải thuật, lý thuyết đồ thị, cơ sở dữ liệu
• Kiến thức về phân tích khám phá dữ liệu (Exploratory Data Analysis – EDA)
• Sử dụng thành thạo Pytorch/Tensorflow
• Thành thạo ngôn ngữ lập trình Python/R
• Kỹ năng sử dụng các công cụ trực quan hóa dữ liệu, đánh giá mô hình
• Có kiến thức về xử lý dữ liệu phân tán, xử lý dữ liệu lớn (Hadoop, Spark, …) là một lợi thế
• Tư duy tốt, có khả năng nghiên cứu, đánh giá và cập nhật công nghệ mới

Benefits for you
• Thu nhập lên đến 480 triệu/năm
• Quyền lợi về Bảo hiểm xã hội/thất nghiệp và các phúc lợi hấp dẫn khác, gói bảo hiểm y tế quyền lợi đến $8000
• Các chế độ bồi dưỡng, ăn trưa 1.000.000đ/tháng, thuê bao nội bộ 320.000đ/tháng
• Được đào tạo phát triển bản thân, nâng cao các kỹ năng và chuyên môn nghề nghiệp
• Làm việc tại môi trường chuyên nghiệp, năng động, trẻ trung và trải nghiệm các hoạt động văn hóa doanh nghiệp đặc sắc
• Cơ hội tiếp cận với những doanh nghiệp, dự án lớn, những xu hướng công nghệ/nền tảng mới nhất, thỏa sức sáng tạo phát triển bản thân
• Thời gian làm việc: 08h - 17h từ Thứ 2 đến Thứ 6 hàng tuần (Nghỉ Thứ 7, CN",https://123job.vn/viec-lam/ha-noi-ai-engineer-3qZal0EQr4?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2xc0u6Jar81ewLQ8zMCr5xqKFJY_-mC42VkVn&s=0,"AI Engineer (Python/R, Data Analyst)",Trung tâm công nghệ thông tin MobiFone,Hà Nội,qua Indeed,3 ngày trước,Toàn thời gian,*missing data*,"Trung tâm công nghệ thông tin MobiFone

Tầng 9-10, tòa nhà Thái Nam, đường Dương Đình Nghệ, phường Yên Hòa, Cau Giay, Ha Noi

At office

Posted 2 days ago

Skills:

Data Analyst

Python

Database

Top 3 reasons to join us
• Môi trường làm việc năng động, chuyên nghiệp
• Cơ hội thăng tiến cao trong công việc
• Chế độ đãi ngộ và phúc lợi tốt

Job description
• Phân tích vấn đề kinh doanh, phân tích khám phá (EDA), mô hình hóa dữ liệu để tìm ra xu hướng vận động, hình mẫu, bản chất của hiện tượng, hành vi người dùng,…và đưa ra các nhận định trong việc ứng dụng khai thác dữ liệu vào hoạt động kinh doanh tạo ra giá trị. Tư vấn cho đơn vị kinh doanh, đội ngũ BA/DA về hướng triển khai ứng dụng học máy, học sâu vào hoạt động kinh doanh
• Xây dựng luồng ETL tổng hợp dữ liệu, tiền xử lý, trích xuất đặc trưng với định dạng phù hợp với mục đích xây dựng từng loại mô hình
• Nghiên cứu thiết kế, cài đặt, tối ưu các thuật toán, công nghệ học máy, học sâu triển khai hiệu quả các bài toán
• Phối hợp thiết kế, triển khai các mô hình NLP tự động và có khả năng mở rộng
• Nghiên cứu, phát triển mô hình NLP tiên tiến

Your skills and experience
• Tốt nghiệp đại học chuyên ngành Công nghệ Thông tin, Toán Tin hoặc tương đương.
• Dưới 35 tuổi
• Kiến thức về mô hình học máy decision trees, linear regression, ensemble (random forest, boosting tree), k-means, SVM, PCA…
• Kiến thức về học sâu, mạng neural nhân tạo, các kiểu mạng MLP, CNN, LSTM, RNN…
• Kiến thức về xác suất thống kê, đại số tuyến tính, giải tích, lập trình, cấu trúc dữ liệu & giải thuật, lý thuyết đồ thị, cơ sở dữ liệu
• Kiến thức về phân tích khám phá dữ liệu (Exploratory Data Analysis – EDA)
• Sử dụng thành thạo Pytorch/Tensorflow
• Thành thạo ngôn ngữ lập trình Python/R
• Kỹ năng sử dụng các công cụ trực quan hóa dữ liệu, đánh giá mô hình
• Có kiến thức về xử lý dữ liệu phân tán, xử lý dữ liệu lớn (Hadoop, Spark, …) là một lợi thế
• Tư duy tốt, có khả năng nghiên cứu, đánh giá và cập nhật công nghệ mới

Why you'll love working here

Trung tâm Công nghệ Thông tin MobiFone – Chi nhánh Tổng Công ty Viễn Thông MobiFone hoạt động trong lĩnh vực sản xuất, kinh doanh và phát triển mới các dịch vụ phần mềm, ứng dụng Công nghệ thông tin, giải pháp công nghệ....

Tại Trung tâm Công nghệ Thông tin MobiFone, các ứng viên sẽ được làm việc trong môi trường chuyên nghiệp, ổn định, với:
• Chế độ đãi ngộ hấp dẫn:

Thu nhập từ 200 - 350 triệu/năm

Làm việc trong môi trường chuyên nghiệp, ổn định

Các chế độ bồi dưỡng, phụ cấp ăn trưa, thuê bao nội bộ
• Chương trình chăm sóc sức khỏe phong phú:

Bảo hiểm xã hội, bảo hiểm y tế, bảo hiểm thất nghiệp theo luật bảo hiểm

Gói Bảo hiểm sức khỏe dành riêng cho CBCNV, chăm sóc sức khỏe bởi gói Bảo hiểm với quyền lợi lên tới $8000

Chế độ chăm sóc phụ nữ: Nghỉ sau sinh cho nhân viên nữ có con dưới 1 tuổi: 1h/ngày
• Chương trình đạo tạo và cơ hội phát triển

Thường xuyên tham dự các khóa đào tạo phong phú nhằm giúp CBCNV không ngừng phát triển bản thân, nâng cao các kỹ năng cũng như chuyên môn nghề nghiệp

Các khóa đào tạo kỹ năng mềm, kỹ năng quản lý

Các khóa học tiếng anh

Các khóa học cập nhật công nghệ mới, nâng cao trình độ chuyên môn trong các lĩnh vực CNTT
• Hoạt động tập thể đa dạng, phong phú:

Trải nghiệm các hoạt động teambuilding, văn hóa, du lịch, du xuân, nghỉ mát hè trong và ngoài nước đa dạng…

Các sự kiện chào mừng các ngày kỷ niệm, Gala Diner,…

Các giải đấu thể thao, hội thao

Trung tâm công nghệ thông tin MobiFone

Hoạt động trong lĩnh vực nghiên cứu, sản xuất, phát triển mới các phần mềm

Company type

IT Product

Company size

301-500 employees

Country

Vietnam

Working days

Monday - Friday

Overtime policy

No OT",https://vn.trabajo.org/job-2877-19b6db4a810525ac55fb961befa59169?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
